dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.940952,14.030936,0.000656,0.065579,3.278952,163.947615,6.232585
0.020000,10.940572,14.030955,0.001037,0.019039,-2.327016,-280.298435,6.233006
0.020000,10.943677,14.030801,0.004145,0.155440,6.820061,457.353850,6.233850
0.020000,10.950388,14.030474,0.010865,0.335974,9.026680,110.330947,6.235121
0.020000,10.959327,14.030051,0.019814,0.447457,5.574182,-172.624873,6.236826
0.020000,10.970487,14.029545,0.030985,0.558537,5.554006,-1.008828,6.238975
0.020000,10.983855,14.028971,0.044366,0.669040,5.525157,-1.442418,6.241581
0.020000,10.999421,14.028347,0.059944,0.778909,5.493436,-1.586051,6.244657
0.020000,11.017169,14.027695,0.077703,0.887980,5.453534,-1.995084,6.248222
0.020000,11.037079,14.027039,0.097625,0.996067,5.404338,-2.459806,6.252296
0.020000,11.059132,14.026408,0.119686,1.103081,5.350735,-2.680186,6.256903
0.020000,11.083301,14.025835,0.143862,1.208805,5.286184,-3.227540,6.262073
0.020000,11.109558,14.025356,0.170124,1.313092,5.214374,-3.590492,6.267837
0.020000,11.137870,14.025011,0.198438,1.415708,5.130758,-4.180794,6.274231
0.020000,11.168198,14.024846,0.228767,1.516408,5.035040,-4.785895,6.281299
0.020000,11.200497,14.024911,0.261066,1.614957,4.927439,-5.380034,0.005901
0.020000,11.234716,14.025258,0.295286,1.711031,4.803714,-6.186274,0.014464
0.020000,11.270797,14.025948,0.331373,1.804354,4.666126,-6.879380,0.023864
0.020000,11.308670,14.027046,0.369263,1.894472,4.505892,-8.011721,0.034171
0.020000,11.348259,14.028622,0.408883,1.981011,4.326961,-8.946557,0.045463
0.020000,11.389473,14.030750,0.450152,2.063455,4.122196,-10.238248,0.057832
0.020000,11.432209,14.033512,0.492978,2.141268,3.890650,-11.577283,0.071380
0.020000,11.476348,14.036994,0.537253,2.213787,3.625963,-13.234370,0.086223
0.020000,11.521752,14.041287,0.582860,2.280330,3.327146,-14.940846,0.102495
0.020000,11.568263,14.046486,0.629661,2.340042,2.985599,-17.077351,0.120345
0.020000,11.615700,14.052689,0.677501,2.392028,2.599306,-19.314634,0.139945
0.020000,11.663854,14.059995,0.726206,2.435247,2.160926,-21.919029,0.161487
0.020000,11.712487,14.068502,0.775578,2.468595,1.667412,-24.675702,0.185191
0.020000,11.761331,14.078304,0.825395,2.490869,1.113717,-27.684736,0.211302
0.020000,11.810081,14.089486,0.875412,2.500802,0.496628,-30.854432,0.240091
0.020000,11.858401,14.102118,0.925356,2.497199,-0.180132,-33.837998,0.271857
0.020000,11.905924,14.116251,0.974936,2.479015,-0.909194,-36.453114,0.306924
0.020000,11.952261,14.131911,1.023847,2.445568,-1.672349,-38.157760,0.345627
0.020000,11.997014,14.149091,1.071784,2.396859,-2.435455,-38.155262,0.388305
0.020000,12.039799,14.167753,1.118462,2.333906,-3.147670,-35.610778,0.435272
0.020000,12.080280,14.187834,1.163650,2.259392,-3.725699,-28.901431,0.486783
0.020000,12.118207,14.209264,1.207212,2.178107,-4.064226,-16.926388,0.542989
0.020000,12.153460,14.232003,1.249164,2.097554,-4.027692,1.826721,0.603872
0.020000,12.186090,14.256096,1.289725,2.028059,-3.474714,27.648879,0.669189
0.020000,12.216326,14.281741,1.329371,1.982338,-2.286053,59.433053,0.738414
0.020000,12.244550,14.309350,1.368854,1.974123,-0.410757,93.764797,0.810718
0.020000,12.271221,14.339586,1.409172,2.015919,2.089806,125.028160,0.884996
0.020000,12.296768,14.373335,1.451500,2.116372,5.022637,146.641548,0.959952
0.020000,12.321473,14.411620,1.497063,2.278186,8.090692,153.402755,1.034230
0.020000,12.345402,14.455463,1.547012,2.497420,10.961718,143.551302,1.106562
0.020000,12.368385,14.505751,1.602303,2.764555,13.356724,119.750331,1.175888
0.020000,12.390063,14.563128,1.663638,3.066767,15.110600,87.693788,1.241434
0.020000,12.409963,14.627954,1.731450,3.390576,16.190455,53.992731,1.302723
0.020000,12.427584,14.700315,1.805925,3.723776,16.659991,23.476828,1.359547
0.020000,12.442456,14.780076,1.887061,4.056804,16.651425,-0.428332,1.411911
0.020000,12.454185,14.866942,1.974715,4.382701,16.294856,-17.828457,1.459973
0.020000,12.462465,14.960520,2.068659,4.697173,15.723616,-28.561960,1.503983
0.020000,12.467080,15.060372,2.168618,4.997967,15.039667,-34.197456,1.544247
0.020000,12.467894,15.166052,2.274301,5.284114,14.307379,-36.614438,1.581085
0.020000,12.464834,15.277126,2.385417,5.555816,13.585083,-36.114762,1.614820
0.020000,12.458296,15.380399,2.488896,5.173982,-19.091725,-1633.840396,1.655235
0.020000,12.447150,15.483406,2.592505,5.180448,0.323334,970.752938,1.703057
0.020000,12.431239,15.582947,2.693310,5.040212,-7.011819,-366.757664,1.756873
0.020000,12.410409,15.678085,2.790701,4.869576,-8.531795,-75.998809,1.817355
0.020000,12.384615,15.767939,2.884185,4.674173,-9.770150,-61.917752,1.885052
0.020000,12.353906,15.851825,2.973515,4.466518,-10.382756,-30.630292,1.960232
0.020000,12.318336,15.929427,3.058881,4.268284,-9.911690,23.553304,2.042689
0.020000,12.277804,16.000945,3.141085,4.110233,-7.902572,100.455886,2.131533
0.020000,12.231838,16.067113,3.221653,4.028393,-4.091967,190.530258,2.225082
0.020000,12.179446,16.129025,3.302757,4.055207,1.340703,271.633521,2.320935
0.020000,12.119159,16.187765,3.386930,4.208635,7.671409,316.535282,2.416295
0.020000,12.049313,16.244049,3.476631,4.485071,13.821765,307.517835,2.508445
0.020000,11.968458,16.298027,3.573848,4.860833,18.788087,248.316096,2.595190
0.020000,11.875681,16.349346,3.679872,5.301205,22.018619,161.526575,2.675105
0.020000,11.770724,16.397373,3.795296,5.771206,23.500038,74.070948,2.747534
0.020000,11.653895,16.441425,3.920154,6.242886,23.583995,4.197842,2.812442
0.020000,11.525899,16.480932,4.054109,6.697725,22.741982,-42.100654,2.870201
0.020000,11.387642,16.515503,4.196622,7.125686,21.398037,-67.197245,2.921403
0.020000,11.240091,16.544934,4.347080,7.522885,19.859959,-76.903886,2.966730
0.020000,11.084179,16.569175,4.504865,7.889257,18.318591,-77.068392,3.006860
0.020000,10.923594,16.588187,4.666572,8.085346,9.804451,-425.706990,3.040124
0.020000,10.759077,16.601886,4.831658,8.254320,8.448723,-67.786418,3.077984
0.020000,10.597365,16.608703,4.993514,8.092773,-8.077374,-826.304839,3.122310
0.020000,10.440157,16.607760,5.150724,7.860505,-11.613385,-176.800555,3.174662
0.020000,10.289669,16.598258,5.301512,7.539398,-16.055365,-222.098982,3.237002
