dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.849405,12.223252,0.000656,0.065579,3.278952,163.947615,6.232585
0.020000,10.849786,12.223233,0.001037,0.019039,-2.327016,-280.298435,6.233006
0.020000,10.854416,12.223003,0.005672,0.231776,10.636860,648.193834,6.233850
0.020000,10.863425,12.222564,0.014692,0.450994,10.960896,16.201784,6.235121
0.020000,10.875447,12.221996,0.026728,0.601794,7.539983,-171.045649,6.236826
0.020000,10.890493,12.221314,0.041789,0.753055,7.563082,1.154957,6.238975
0.020000,10.908573,12.220538,0.059885,0.904820,7.588228,1.257304,6.241581
0.020000,10.929702,12.219691,0.081031,1.057301,7.624056,1.791404,6.244657
0.020000,10.953897,12.218801,0.105243,1.210589,7.664420,2.018198,6.248222
0.020000,10.981178,12.217902,0.132539,1.364769,7.708991,2.228540,6.252296
0.020000,11.011567,12.217033,0.162940,1.520088,7.765932,2.847061,6.256903
0.020000,11.045091,12.216238,0.196473,1.676649,7.828068,3.106790,6.262073
0.020000,11.081778,12.215569,0.233167,1.834701,7.902577,3.725430,6.267837
0.020000,11.121664,12.215084,0.273056,1.994414,7.985646,4.153467,6.274231
0.020000,11.164783,12.214850,0.316176,2.156008,8.079725,4.703956,6.281299
0.020000,11.211179,12.214942,0.362571,2.319779,8.188560,5.441757,0.005901
0.020000,11.260896,12.215447,0.412291,2.485981,8.310112,6.077597,0.014464
0.020000,11.313987,12.216464,0.465391,2.655029,8.452377,7.113249,0.023864
0.020000,11.370507,12.218103,0.521935,2.827189,8.608019,7.782097,0.034171
0.020000,11.430519,12.220492,0.581995,3.002973,8.789181,9.058103,0.045463
0.020000,11.494090,12.223776,0.645651,3.182827,8.992686,10.175229,0.057832
0.020000,11.561297,12.228121,0.712998,3.367340,9.225646,11.647988,0.071380
0.020000,11.632218,12.233718,0.784140,3.557100,9.488039,13.119685,0.086223
0.020000,11.706943,12.240786,0.859198,3.752891,9.789509,15.073468,0.102495
0.020000,11.785562,12.249577,0.938307,3.955464,10.128675,16.958301,0.120345
0.020000,11.868174,12.260384,1.021623,4.165778,10.515686,19.350590,0.139945
0.020000,11.954877,12.273545,1.109319,4.384823,10.952260,21.828666,0.161487
0.020000,12.045771,12.289451,1.201594,4.613758,11.446761,24.725069,0.185191
