dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000643,0.064321,3.216027,160.801326,0.000000
0.020000,0.000000,0.000000,0.003216,0.192962,6.432053,160.801326,0.000000
0.020000,0.004362,0.000000,0.008362,0.321603,6.432053,-0.000000,0.000000
0.020000,0.012080,0.000000,0.016080,0.450244,6.432053,0.000000,0.000000
0.020000,0.022371,0.000000,0.026371,0.578885,6.432053,0.000000,0.000000
0.020000,0.035236,0.000000,0.039236,0.707526,6.432053,-0.000000,0.000000
0.020000,0.050672,0.000000,0.054672,0.836167,6.432053,0.000000,0.000000
0.020000,0.068682,0.000000,0.072682,0.964808,6.432053,0.000000,0.000000
0.020000,0.089265,0.000000,0.093265,1.093449,6.432053,-0.000000,0.000000
0.020000,0.112420,0.000000,0.116420,1.222090,6.432053,0.000000,0.000000
0.020000,0.138148,0.000000,0.142148,1.350731,6.432053,0.000000,0.000000
0.020000,0.166449,0.000000,0.170449,1.479372,6.432053,0.000000,0.000000
0.020000,0.197323,0.000000,0.201323,1.608013,6.432053,-0.000000,0.000000
0.020000,0.230770,0.000000,0.234770,1.736654,6.432053,0.000000,0.000000
0.020000,0.266789,0.000000,0.270789,1.865295,6.432053,0.000000,0.000000
0.020000,0.305382,0.000000,0.309382,1.993936,6.432053,0.000000,0.000000
0.020000,0.346547,0.000000,0.350547,2.122578,6.432053,0.000000,0.000000
0.020000,0.390285,0.000000,0.394285,2.251219,6.432053,-0.000000,0.000000
0.020000,0.436596,0.000000,0.440596,2.379860,6.432053,0.000000,0.000000
0.020000,0.485479,0.000000,0.489479,2.508501,6.432053,0.000000,0.000000
0.020000,0.536936,0.000000,0.540936,2.637142,6.432053,0.000000,0.000000
0.020000,0.590965,0.000000,0.594965,2.765783,6.432053,0.000000,0.000000
0.020000,0.647567,0.000000,0.651567,2.894424,6.432053,-0.000000,0.000000
0.020000,0.706742,0.000000,0.710742,3.023065,6.432053,0.000000,0.000000
0.020000,0.768490,0.000000,0.772490,3.151706,6.432053,0.000000,0.000000
0.020000,0.832810,0.000000,0.836810,3.280347,6.432053,0.000000,0.000000
0.020000,0.899703,0.000000,0.903703,3.408988,6.432053,-0.000000,0.000000
0.020000,0.969170,0.000000,0.973170,3.537629,6.432053,0.000000,0.000000
0.020000,1.041209,0.000000,1.045209,3.666270,6.432053,-0.000000,0.000000
0.020000,1.115820,0.000000,1.119820,3.794911,6.432053,0.000000,0.000000
0.020000,1.193005,0.000000,1.197005,3.923552,6.432053,-0.000000,0.000000
0.020000,1.272763,0.000000,1.276763,4.052193,6.432053,0.000000,0.000000
0.020000,1.355093,0.000000,1.359093,4.180834,6.432053,-0.000000,0.000000
0.020000,1.439996,0.000000,1.443996,4.309476,6.432053,-0.000000,0.000000
0.020000,1.527472,0.000000,1.531472,4.438117,6.432053,0.000000,0.000000
0.020000,1.617521,0.000000,1.621521,4.566758,6.432053,-0.000000,0.000000
0.020000,1.710142,0.000000,1.714142,4.695399,6.432053,0.000000,0.000000
0.020000,1.805337,0.000000,1.809337,4.824040,6.432053,0.000000,0.000000
0.020000,1.903104,0.000000,1.907104,4.952681,6.432053,0.000000,0.000000
0.020000,2.002739,0.000000,2.006739,5.010847,2.908299,-176.187703,0.000000
0.020000,2.102251,0.000000,2.106251,4.940372,-3.523754,-321.602652,0.000000
0.020000,2.199772,0.000000,2.203772,4.811731,-6.432053,-145.414949,0.000000
0.020000,2.294720,0.000000,2.298720,4.683090,-6.432053,0.000000,0.000000
0.020000,2.387096,0.000000,2.391096,4.554449,-6.432053,0.000000,0.000000
0.020000,2.476898,0.000000,2.480898,4.425807,-6.432053,0.000000,0.000000
0.020000,2.564128,0.000000,2.568128,4.297166,-6.432053,0.000000,0.000000
0.020000,2.648785,0.000000,2.652785,4.168525,-6.432053,0.000000,0.000000
0.020000,2.730869,0.000000,2.734869,4.039884,-6.432053,0.000000,0.000000
0.020000,2.810380,0.000000,2.814380,3.911243,-6.432053,0.000000,0.000000
0.020000,2.887319,0.000000,2.891319,3.782602,-6.432053,-0.000000,0.000000
0.020000,2.961684,0.000000,2.965684,3.653961,-6.432053,0.000000,0.000000
0.020000,3.033477,0.000000,3.037477,3.525320,-6.432053,0.000000,0.000000
0.020000,3.102697,0.000000,3.106697,3.396679,-6.432053,-0.000000,0.000000
0.020000,3.169344,0.000000,3.173344,3.268038,-6.432053,0.000000,0.000000
0.020000,3.233419,0.000000,3.237419,3.139397,-6.432053,0.000000,0.000000
0.020000,3.294920,0.000000,3.298920,3.010756,-6.432053,-0.000000,0.000000
0.020000,3.353849,0.000000,3.357849,2.882115,-6.432053,0.000000,0.000000
0.020000,3.410205,0.000000,3.414205,2.753474,-6.432053,0.000000,0.000000
0.020000,3.463988,0.000000,3.467988,2.624833,-6.432053,-0.000000,0.000000
0.020000,3.515198,0.000000,3.519198,2.496192,-6.432053,0.000000,0.000000
0.020000,3.563836,0.000000,3.567836,2.367551,-6.432053,-0.000000,0.000000
0.020000,3.609900,0.000000,3.613900,2.238909,-6.432053,0.000000,0.000000
0.020000,3.653392,0.000000,3.657392,2.110268,-6.432053,-0.000000,0.000000
0.020000,3.694311,0.000000,3.698311,1.981627,-6.432053,0.000000,0.000000
0.020000,3.732657,0.000000,3.736657,1.852986,-6.432053,0.000000,0.000000
0.020000,3.768430,0.000000,3.772430,1.724345,-6.432053,-0.000000,0.000000
0.020000,3.801631,0.000000,3.805631,1.595704,-6.432053,0.000000,0.000000
0.020000,3.832259,0.000000,3.836259,1.467063,-6.432053,0.000000,0.000000
0.020000,3.860313,0.000000,3.864313,1.338422,-6.432053,-0.000000,0.000000
0.020000,3.885795,0.000000,3.889795,1.209781,-6.432053,0.000000,0.000000
0.020000,3.908705,0.000000,3.912705,1.081140,-6.432053,0.000000,0.000000
0.020000,3.929041,0.000000,3.933041,0.952499,-6.432053,0.000000,0.000000
0.020000,3.946805,0.000000,3.950805,0.823858,-6.432053,-0.000000,0.000000
0.020000,3.961995,0.000000,3.965995,0.695217,-6.432053,0.000000,0.000000
0.020000,3.974613,0.000000,3.978613,0.566576,-6.432053,0.000000,0.000000
0.020000,3.984658,0.000000,3.988658,0.437935,-6.432053,-0.000000,0.000000
0.020000,3.992131,0.000000,3.996131,0.309294,-6.432053,0.000000,0.000000
0.020000,3.997030,0.000000,4.001030,0.180652,-6.432053,-0.000000,0.000000
0.020000,3.999418,0.000000,4.003418,0.058166,-6.124325,15.386377,0.000000
0.020000,4.000000,0.000000,4.004000,0.000000,-2.908299,160.801326,0.000000
0.020000,4.000000,0.000000,4.004000,0.000000,0.000000,145.414949,0.000000
